nombre_col,num_code,prom_valor_unitario_suelo,latitud,longitud,alcaldia,estado,no_airbnb,no_starbucks,airbnb_mean_price,flag_airbnb,flag_starbucks,valor_unitario_pred
BELLA VISTA,1000,1683.332,19.39674241,-99.19332928,Álvaro Obregón,CDMX,49,3,988.0408163265306,1,1,3204.791260490356
BONANZA,1220,2010.8,19.38632942,-99.21547293,Álvaro Obregón,CDMX,5,0,411.0,1,0,1575.3682141949696
BOSQUES DE TARANGO,1500,3267.298598,19.34944692,-99.25109622,Álvaro Obregón,CDMX,51,1,715.1372549019608,1,1,2156.4718773259733
CAADA DEL OLIVAR (U HAB),1400,1824.38,19.36979593,-99.20995092,Álvaro Obregón,CDMX,20,0,456.3,1,0,1593.5692392504927
CALZADA JALALPA,1120,1256.223408,19.38102558,-99.22473027,Álvaro Obregón,CDMX,15,0,1307.6,1,0,1584.61124554369
CAMPO DE TIRO LOS GAMITOS,1230,1153.95,19.38013871,-99.23781912,Álvaro Obregón,CDMX,10,0,551.4,1,0,1581.0171241338644
CANUTILLO 3RA SECCION,1230,1670.795093,19.36177645,-99.22748007,Álvaro Obregón,CDMX,17,0,1904.470588235294,1,0,1585.0665777650229
CANUTILLO PREDIO LA PRESA,1430,1659.2,19.36233008,-99.23093118,Álvaro Obregón,CDMX,15,0,795.7333333333333,1,0,1586.3192315051701
CAROLA,1180,4299.89,19.38493499,-99.19663667,Álvaro Obregón,CDMX,77,4,930.025974025974,1,1,3765.080727771474
CEDRO CHICO,1299,998.3257143,19.35384292,-99.25806652,Álvaro Obregón,CDMX,24,0,728.5,1,0,1597.5548829696704
CHIMALISTAC,1000,8097.484725,19.34380945,-99.18681014,Álvaro Obregón,CDMX,129,6,1272.5813953488373,1,1,4879.235550194807
COLINAS DE TARANGO,1610,2050.906837,19.36341493,-99.22048842,Álvaro Obregón,CDMX,14,0,1119.642857142857,1,0,1584.014938254195
COLINAS DEL SUR,1430,2366.382976,19.36702597,-99.22459137,Álvaro Obregón,CDMX,15,0,2128.2,1,0,1581.8730846684807
CONCIENCIA PROLETARIA,1610,855.6,19.36137476,-99.21783415,Álvaro Obregón,CDMX,12,0,1348.25,1,0,1580.805169246811
COOPERATIVA CEHUAYO,1540,1545.932014,19.35839547,-99.24301658,Álvaro Obregón,CDMX,22,0,663.1363636363636,1,0,1595.3260294949662
CORPUS CHRISTY,1530,1415.409833,19.36163772,-99.24844301,Álvaro Obregón,CDMX,21,0,601.1904761904761,1,0,1594.3092504903807
CORPUS CURISTY AMPL XOCOMECATLA,1270,1234.796988,19.36370041,-99.24407484,Álvaro Obregón,CDMX,18,0,596.8333333333334,1,0,1590.6533530841625
COVE,1100,2400.71,19.40118696,-99.19793007,Álvaro Obregón,CDMX,26,0,810.4230769230769,1,0,1599.7284812503028
CRISTO REY,1150,1874.8,19.38879585,-99.20156454,Álvaro Obregón,CDMX,32,0,894.90625,1,0,1606.7874520279668
DE TARANGO (RCNDA),1588,2290.92,19.36260602,-99.22232144,Álvaro Obregón,CDMX,13,0,1178.7692307692307,1,0,1582.5941678672782
DESARROLLO URBANO,1270,815.6350962,19.38185156,-99.22085029,Álvaro Obregón,CDMX,13,0,1495.7692307692307,1,0,1581.5364089135353
DOS RIOS,1530,1730.2,19.35768121,-99.24556611,Álvaro Obregón,CDMX,18,0,761.7777777777778,1,0,1590.1029699201838
EL ARBOL,1250,1236.707538,19.38024603,-99.23562446,Álvaro Obregón,CDMX,6,0,524.1666666666666,1,0,1576.2140807773517
EL BATAN,1508,1043.72,19.35471151,-99.25912009,Álvaro Obregón,CDMX,19,0,756.1052631578947,1,0,1591.3453765910874
EL BOSQUE,1140,1788.36,19.39269946,-99.19729486,Álvaro Obregón,CDMX,42,3,1052.6666666666667,1,1,3196.01126710654
EL BOSQUE 2DA SECCION (AMPL),1140,1788.36,19.39151901,-99.1999765,Álvaro Obregón,CDMX,32,3,907.625,1,1,3184.2604516684078
EL BOSQUE SECCION TORRES,1140,1788.36,19.39320576,-99.195787,Álvaro Obregón,CDMX,52,3,982.4807692307692,1,1,3208.4802493680845
EL CAPULIN,1110,2468.285337,19.39634083,-99.2107809,Álvaro Obregón,CDMX,7,0,674.8571428571429,1,0,1576.9347386988431
EL CAPULIN (AMPL),1110,1563.16,19.39712821,-99.20908548,Álvaro Obregón,CDMX,6,0,737.3333333333334,1,0,1575.5027907132944
EL CUERNITO,1220,3210.05,19.3889876,-99.22271626,Álvaro Obregón,CDMX,11,0,412.7272727272728,1,0,1582.7033231258508
EL MIRADOR,1700,1968.973333,19.34473501,-99.22588407,Álvaro Obregón,CDMX,22,0,643.0,1,0,1595.3932200909667
EL PARAISO,1100,2010.8,19.39072409,-99.21263664,Álvaro Obregón,CDMX,5,0,361.2,1,0,1575.5343857908574
EL PIRU (FRACC),1230,1377.81,19.38039248,-99.21782225,Álvaro Obregón,CDMX,9,0,1984.6666666666667,1,0,1575.0111512275084
EL PIRUL,1130,1481.074541,19.38032499,-99.24025377,Álvaro Obregón,CDMX,11,0,633.0909090909091,1,0,1581.968018364201
EL POCITO,1110,1127.922059,19.38168536,-99.20899,Álvaro Obregón,CDMX,3,0,475.3333333333333,1,0,1572.7065905910217
EL RODEO,1270,1020.41,19.38049884,-99.20857121,Álvaro Obregón,CDMX,2,0,575.0,1,0,1571.15054620426
EL RUEDO,1650,1342.03,19.35136384,-99.23999834,Álvaro Obregón,CDMX,18,0,923.9444444444443,1,0,1589.5618555868548
EMANCIPACION DEL PUEBLO,1550,1730.673758,19.36048691,-99.23854168,Álvaro Obregón,CDMX,20,0,586.25,1,0,1593.135624815039
ESTADO DE HIDALGO,1120,3023.996013,19.3996005,-99.20616867,Álvaro Obregón,CDMX,7,0,672.4285714285714,1,0,1576.9428423050683
ESTADO DE HIDALGO (AMPL),1520,2659.25,19.39769761,-99.20906618,Álvaro Obregón,CDMX,6,0,737.3333333333334,1,0,1575.5027907132944
ESTADO DE HIDALGO_,1410,1396.426754,19.36450878,-99.24168881,Álvaro Obregón,CDMX,18,0,485.72222222222223,1,0,1591.0241063101503
FLOR DE MARIA,1040,4117.480826,19.349399,-99.20517366,Álvaro Obregón,CDMX,28,3,1194.357142857143,1,1,3178.409774893578
FLORIDA,1030,6471.154597,19.35752987,-99.18061311,Álvaro Obregón,CDMX,87,6,1577.9655172413793,1,1,4826.83044365147
FRANCISCO VILLA,1170,2010.8,19.38422823,-99.20409387,Álvaro Obregón,CDMX,13,0,962.5384615384615,1,0,1583.315682164529
GALEANA,1400,1547.886393,19.37090649,-99.22424855,Álvaro Obregón,CDMX,12,0,2899.333333333333,1,0,1575.6295469003294
GARCIMARRERO,1210,1471.091045,19.36540725,-99.23705802,Álvaro Obregón,CDMX,19,0,571.3157894736842,1,0,1591.9619782325603
GARCIMARRERO NORTE,1210,1273.701481,19.36663412,-99.24238434,Álvaro Obregón,CDMX,16,0,478.5625,1,0,1588.6010392350486
GARCIMARRERO REACOMODO,1210,1470.86,19.36662783,-99.23545777,Álvaro Obregón,CDMX,18,0,570.5,1,0,1590.7412215987215
GOLONDRINAS,1210,973.78,19.3785561,-99.21319415,Álvaro Obregón,CDMX,10,0,387.7,1,0,1581.563354861712
GOLONDRINAS 1RA SECCION,1270,1373.544821,19.38036702,-99.21207985,Álvaro Obregón,CDMX,2,0,363.0,1,0,1571.8579433594446
GOLONDRINAS 2DA SECCION,1210,973.78,19.37641635,-99.21691245,Álvaro Obregón,CDMX,15,0,1269.2,1,0,1584.7393778585915
GRAL A ROSALES,1230,1592.7836,19.37794038,-99.24602119,Álvaro Obregón,CDMX,29,0,953.0689655172414,1,0,1602.922939669123
GRAL C  A  MADRAZO,1320,5178.804379,19.37919556,-99.25088979,Álvaro Obregón,CDMX,100,3,1513.86,1,1,3265.434133958236
GUADALUPE INN,1000,10104.41464,19.35370526,-99.18677334,Álvaro Obregón,CDMX,79,7,1563.26582278481,1,1,5342.930143105592
HACIENDA DE GUADALUPE CHIMALISTAC,1030,7982.506885,19.35042737,-99.18127926,Álvaro Obregón,CDMX,72,7,1103.236111111111,1,1,5335.900809401117
HERON PROAL,1614,1347.945447,19.35799917,-99.23011215,Álvaro Obregón,CDMX,11,0,778.8181818181819,1,0,1581.4817586558988
HOGAR Y REDENCION,1400,1219.55,19.36994145,-99.21356888,Álvaro Obregón,CDMX,20,0,503.1,1,0,1593.4130779917068
ISIDRO FABELA,1100,2010.8,19.38636281,-99.20900325,Álvaro Obregón,CDMX,8,0,527.0,1,0,1578.6515840561901
JALALPA,1209,954.3390265,19.37910072,-99.22862121,Álvaro Obregón,CDMX,10,0,1764.6,1,0,1576.96894380995
JALALPA (AMPL),1296,803.32,19.3778356,-99.2329458,Álvaro Obregón,CDMX,3,0,306.6666666666667,1,0,1573.269393988071
JALALPA EL GRANDE,1150,1188.19,19.36871102,-99.24346883,Álvaro Obregón,CDMX,16,0,691.0625,1,0,1587.8919736903472
JALALPA TEPITO,1250,1082.966921,19.37393145,-99.23721077,Álvaro Obregón,CDMX,2,0,527.0,1,0,1571.310711597887
JARDINES DEL PEDREGAL,1900,4899.766953,19.31901441,-99.20876909,Álvaro Obregón,CDMX,5,4,2214.4,1,1,3672.7045859502923
JOSE MARIA PINO SUAREZ,1110,1967.59242,19.39577509,-99.19798201,Álvaro Obregón,CDMX,21,3,769.3333333333334,1,1,3171.263634228747
JURISTAS,1630,1365.53,19.3561181,-99.23623351,Álvaro Obregón,CDMX,10,0,784.7,1,0,1580.238653585258
LA ANGOSTURA,1770,1735.165692,19.33314153,-99.23247536,Álvaro Obregón,CDMX,24,1,1560.9583333333333,1,1,2120.615633222677
LA ARAA,1500,1476.84,19.36350442,-99.24042295,Álvaro Obregón,CDMX,20,0,484.65,1,0,1593.474641564882
LA CANADA,1269,1120.872045,19.38210511,-99.22679574,Álvaro Obregón,CDMX,15,0,1190.9333333333334,1,0,1585.0005364309773
LA CASCADA,1470,1965.189749,19.37016107,-99.19847733,Álvaro Obregón,CDMX,34,2,920.8235294117648,1,1,2660.82488881203
LA CEBADA (AMPL),1210,1148.834627,19.38025318,-99.23352103,Álvaro Obregón,CDMX,5,0,313.0,1,0,1575.6952185402906
LA CONCHITA,1100,2047.48,19.39127417,-99.20811188,Álvaro Obregón,CDMX,10,0,718.0,1,0,1580.4612167468185
LA HERRADURA,1060,3105.446087,19.34565603,-99.21016613,Álvaro Obregón,CDMX,24,1,697.5833333333334,1,1,2123.496524821061
LA HUERTA,1230,1282.28,19.37881397,-99.23968959,Álvaro Obregón,CDMX,11,0,570.7272727272727,1,0,1582.1761120384963
LA JOYA,1230,2010.8,19.38460547,-99.21162082,Álvaro Obregón,CDMX,4,0,409.0,1,0,1574.1514090099868
LA LOMA,1376,9402.07,19.36949563,-99.24993096,Álvaro Obregón,CDMX,17,6,1698.2941176470588,1,1,4740.78542168692
LA MARTINICA,1600,1829.905747,19.35958999,-99.2240095,Álvaro Obregón,CDMX,9,0,1425.4444444444443,1,0,1576.8771522139043
LA MEXICANA,1200,1091.386146,19.38223507,-99.23154794,Álvaro Obregón,CDMX,5,0,361.0,1,0,1575.535053146664
LA MEXICANA (AMPL),1260,961.1310526,19.38371633,-99.2281489,Álvaro Obregón,CDMX,14,0,381.2857142857143,1,0,1586.478672888003
LA MILAGROSA,1600,1109.985354,19.35142457,-99.23820138,Álvaro Obregón,CDMX,10,0,1265.7,1,0,1578.6336628699573
LA OTRA BANDA,1000,8381.417315,19.33654872,-99.1970036,Álvaro Obregón,CDMX,81,5,1585.6049382716049,1,1,4293.625600366982
LA PALMITA,1110,951.2946825,19.38414512,-99.22637366,Álvaro Obregón,CDMX,16,0,399.6875,1,0,1588.8642276813466
LA PERA XOCHINAHUAC (U HAB),1618,1358.62,19.35912741,-99.22764858,Álvaro Obregón,CDMX,9,0,1598.2222222222222,1,0,1576.3006309474936
LA PRESA,1270,1349.71,19.38206395,-99.21170218,Álvaro Obregón,CDMX,3,0,428.6666666666667,1,0,1572.8623069459363
LA PRESA SECCION HORNOS,1270,1028.74271,19.38231582,-99.21617109,Álvaro Obregón,CDMX,3,0,398.6666666666667,1,0,1572.962410316953
LADERA GRANDE O LA CEBADITA,1210,1171.291892,19.38046242,-99.23707393,Álvaro Obregón,CDMX,8,0,594.375,1,0,1578.4267685687819
LAS AGUILAS,1010,2462.18,19.36022773,-99.20274323,Álvaro Obregón,CDMX,21,2,856.2857142857143,1,1,2645.135013580779
LAS AGUILAS (AMPL),1700,2045.382124,19.35083796,-99.2178449,Álvaro Obregón,CDMX,14,0,1399.571428571429,1,0,1583.0808784660658
LAS AGUILAS SECC HORNOS,1600,2660.987955,19.3618534,-99.20454998,Álvaro Obregón,CDMX,22,1,786.2272727272727,1,1,2120.753782096509
LAS CUEVITAS,1210,2170.81,19.38654019,-99.22613216,Álvaro Obregón,CDMX,16,0,399.6875,1,0,1588.8642276813466
LAS PALMAS,1110,2033.37,19.3988964,-99.21115671,Álvaro Obregón,CDMX,7,0,674.8571428571429,1,0,1576.9347386988431
LIBERACION PROLETARIA,1209,1133.39,19.38149568,-99.22986814,Álvaro Obregón,CDMX,8,0,347.375,1,0,1579.2509529901527
LIBERALES DE 1857,1110,1545.18,19.39353287,-99.21240264,Álvaro Obregón,CDMX,9,0,598.8888888888889,1,0,1579.6351854620266
LLANO REDONDO,1500,1770.088566,19.35551677,-99.24488843,Álvaro Obregón,CDMX,19,0,780.1052631578947,1,0,1591.2652938942742
LOMAS DE AXOMIATLA,1050,2373.927092,19.34265588,-99.25230704,Álvaro Obregón,CDMX,58,1,611.051724137931,1,1,2165.383538944112
LOMAS DE BECERRA,1279,1143.957283,19.38464058,-99.21676116,Álvaro Obregón,CDMX,8,0,384.875,1,0,1579.1258237763818
LOMAS DE BECERRA (U HAB),1280,2010.8,19.38398609,-99.20069042,Álvaro Obregón,CDMX,36,0,1014.7777777777778,1,0,1611.2813821995196
LOMAS DE BECERRA ARVIDE (U HAB),1279,2010.8,19.38305339,-99.20688479,Álvaro Obregón,CDMX,10,0,682.3,1,0,1580.5803397583281
LOMAS DE CAPULA,1270,1377.81,19.37941891,-99.21584426,Álvaro Obregón,CDMX,7,0,1801.142857142857,1,0,1573.1765721412457
LOMAS DE CAPULIN,1110,956.3257955,19.3126989,-99.26875651,Álvaro Obregón,CDMX,7,0,1094.0,1,0,1575.5361516009245
LOMAS DE CENTENARIO (U HAB),1630,1365.53,19.35664802,-99.23502772,Álvaro Obregón,CDMX,10,0,841.8,1,0,1580.048123502423
LOMAS DE CHAMONTOYA,1857,838.0959594,19.31747247,-99.26801703,Álvaro Obregón,CDMX,3,0,466.3333333333333,1,0,1572.7366216023265
LOMAS DE GUADALUPE,1588,2135.127782,19.34208304,-99.24401242,Álvaro Obregón,CDMX,23,2,821.7826086956521,1,1,2647.6971003062167
LOMAS DE LA ERA,1860,1045.576093,19.32090605,-99.2627322,Álvaro Obregón,CDMX,3,0,382.0,1,0,1573.0180233008514
LOMAS DE LAS AGUILAS,1600,1937.857451,19.34591267,-99.23547162,Álvaro Obregón,CDMX,12,1,2662.083333333333,1,1,2102.259677492379
LOMAS DE LOS ANGELES TETELPAN,1020,2133.966067,19.34354724,-99.21409825,Álvaro Obregón,CDMX,25,0,1150.08,1,0,1597.3716424076138
LOMAS DE LOS CEDROS,1840,1046.32,19.3251693,-99.25759896,Álvaro Obregón,CDMX,5,0,923.2,1,0,1573.6591159738116
LOMAS DE NUEVO MEXICO,1250,1133.39,19.38191584,-99.23476852,Álvaro Obregón,CDMX,9,0,496.1111111111111,1,0,1579.9781321960652
LOMAS DE PLATEROS (U HAB) I,1000,4675.73,19.36745721,-99.20589372,Álvaro Obregón,CDMX,15,1,514.9333333333333,1,1,2113.094678824146
LOMAS DE PLATEROS (U HAB) II,1400,4455.57199,19.36840847,-99.19709203,Álvaro Obregón,CDMX,50,2,824.54,1,1,2680.721825563089
LOMAS DE PUERTA GRANDE,1130,1255.644449,19.35623814,-99.23167681,Álvaro Obregón,CDMX,12,0,778.9166666666666,1,0,1582.7049087767718
LOMAS DE SAN ANGEL INN,1790,4223.908081,19.34489443,-99.20473999,Álvaro Obregón,CDMX,53,3,750.6037735849056,1,1,3210.477450408647
LOMAS DE SANTA FE,1210,5086.32,19.38676554,-99.24107122,Álvaro Obregón,CDMX,19,2,1073.421052631579,1,1,2641.963523450169
LOMAS DE SANTA FE II,1219,13973.1903,19.36976315,-99.25946966,Álvaro Obregón,CDMX,32,7,1294.9375,1,1,5286.321994503884
LOMAS DE SANTO DOMINGO,1100,1499.73,19.39517683,-99.20154067,Álvaro Obregón,CDMX,16,0,1076.5,1,0,1586.6058539214725
LOMAS DE SANTO DOMINGO (AMPL),1100,1499.73,19.39428319,-99.20213932,Álvaro Obregón,CDMX,11,0,765.4545454545455,1,0,1581.5263501575337
LOMAS DE TARANGO,1620,1957.65969,19.36323991,-99.21565046,Álvaro Obregón,CDMX,15,0,1157.3333333333333,1,0,1585.112652206516
LOMAS DE TETELPAN,1030,2938.942126,19.3450234,-99.21623808,Álvaro Obregón,CDMX,24,0,1225.75,1,0,1595.8956695950692
LORETO,1090,6180.97,19.34080067,-99.19269208,Álvaro Obregón,CDMX,108,6,1261.2222222222222,1,1,4853.580399641476
LOS CEDROS,1500,1476.84,19.36394133,-99.23861872,Álvaro Obregón,CDMX,21,0,502.0,1,0,1594.6402271916945
LOS GAMITOS,1210,1282.28,19.37899668,-99.23858824,Álvaro Obregón,CDMX,10,0,567.8,1,0,1580.9624009577087
MARGARITA M DE JUAREZ,1210,1396.618679,19.38186229,-99.23640383,Álvaro Obregón,CDMX,10,0,959.5,1,0,1579.6553846101342
MARIA G DE GARCIA RUIZ,1140,2048.649703,19.38760203,-99.21168494,Álvaro Obregón,CDMX,7,0,556.5714285714286,1,0,1577.3294319902802
MARTIRES DE TACUBAYA,1160,2010.8,19.38701431,-99.21345708,Álvaro Obregón,CDMX,6,0,399.3333333333333,1,0,1576.6306220267488
MERCED GOMEZ,3930,3043.385196,19.36588377,-99.20018144,Álvaro Obregón,CDMX,29,2,653.9310344827586,1,1,2655.598056378159
METROPOLITANO (U HAB),1610,855.6,19.36045673,-99.21829843,Álvaro Obregón,CDMX,10,0,1463.4,1,0,1577.9739816549575
MIGUEL GAONA ARMENTA,1380,1416.080909,19.35537006,-99.25066176,Álvaro Obregón,CDMX,40,0,717.625,1,0,1617.1668303304727
MIGUEL HIDALGO,1080,2318.121421,19.33680178,-99.21497684,Álvaro Obregón,CDMX,32,1,16234.21875,1,1,2081.442035449953
MILPA DEL CEDRO,1505,1026.066667,19.35359241,-99.25692152,Álvaro Obregón,CDMX,35,0,831.3142857142857,1,0,1610.6700805902708
MINAS DE CRISTO,1180,1655.004556,19.37987806,-99.20037443,Álvaro Obregón,CDMX,21,1,971.4761904761904,1,1,2118.9121686486633
MOLINO DE ROSAS,1400,2767.479264,19.37244774,-99.19939143,Álvaro Obregón,CDMX,32,1,910.25,1,1,2132.574733090925
MOLINO DE ROSAS (AMPL),1410,2768.64,19.36995095,-99.20150713,Álvaro Obregón,CDMX,25,1,909.92,1,1,2124.011483026652
MOLINO DE SANTO DOMINGO,1100,2032.97,19.39400066,-99.20788179,Álvaro Obregón,CDMX,9,0,736.6666666666666,1,0,1579.175451461802
MOLINO DE SANTO DOMINGO (U HAB),1100,2047.48,19.39344058,-99.2036343,Álvaro Obregón,CDMX,9,0,736.6666666666666,1,0,1579.175451461802
OCHO DE AGOSTO,1140,4188.303944,19.39319529,-99.18944717,Álvaro Obregón,CDMX,142,4,814.7887323943662,1,1,3844.99136728156
OCOTILLOS,1700,1963.213885,19.34058837,-99.23781207,Álvaro Obregón,CDMX,31,1,1450.967741935484,1,1,2129.5469987233323
OLIVAR DE LOS PADRES,1780,3030.193166,19.33738268,-99.22896012,Álvaro Obregón,CDMX,20,1,1683.3,1,1,2115.3134911421703
OLIVAR DEL CONDE 1RA SECCION I,1400,1950.142662,19.37526528,-99.20469722,Álvaro Obregón,CDMX,5,0,387.8,1,0,1575.4456274685558
OLIVAR DEL CONDE 1RA SECCION II,1100,1910.510971,19.37466257,-99.2098116,Álvaro Obregón,CDMX,14,0,335.7857142857143,1,0,1586.630496334045
OLIVAR DEL CONDE 2DA SECCION I,1298,1435.28,19.37220858,-99.21595357,Álvaro Obregón,CDMX,18,0,522.0555555555555,1,0,1590.9028700052522
OLIVAR DEL CONDE 2DA SECCION II,1408,1435.28,19.37153664,-99.22043588,Álvaro Obregón,CDMX,22,0,1769.0,1,0,1591.6360068988076
PALMAS,1110,1483.05,19.37631268,-99.21283614,Álvaro Obregón,CDMX,11,0,364.7272727272728,1,0,1582.8634885194774
PALMAS AXOTITLA,1410,1163.226213,19.35299046,-99.23677775,Álvaro Obregón,CDMX,12,0,1125.5833333333333,1,0,1581.5481587116901
PARAJE EL CABALLITO,1856,1029.665273,19.31505617,-99.27141997,Álvaro Obregón,CDMX,1,0,259.0,1,0,1570.9814896359185
PARQUE RESIDENCIAL SAN ANTONIO (U HAB),1180,4299.89,19.38637619,-99.19276246,Álvaro Obregón,CDMX,119,4,888.5714285714286,1,1,3816.6051596377297
PASEO DE LAS LOMAS-SAN GABRIEL,1330,8620.421074,19.37197111,-99.26404403,Álvaro Obregón,CDMX,57,7,1328.1052631578948,1,1,5316.798289583441
PILOTO (ADOLFO LOPEZ MATEOS),1290,1368.571217,19.37192888,-99.23257106,Álvaro Obregón,CDMX,10,0,2216.6,1,0,1575.4607196866323
PILOTO (ADOLFO LOPEZ MATEOS) (AMPL),1290,1320.378872,19.37211594,-99.22664292,Álvaro Obregón,CDMX,14,0,2666.3571428571427,1,0,1578.8538944542067
PODER POPULAR,1600,2420.77,19.3639673,-99.20259616,Álvaro Obregón,CDMX,21,1,778.2380952380952,1,1,2119.556961473402
POLVORA,1100,2008.542353,19.39223691,-99.20474643,Álvaro Obregón,CDMX,9,0,774.4444444444445,1,0,1579.0493953649661
PONCIANO ARRIAGA,1600,1291.550667,19.35767486,-99.22731075,Álvaro Obregón,CDMX,10,0,952.4,1,0,1579.6790757412748
PRADOS LA PROVIDENCIA,1550,1342.123428,19.35765639,-99.23805976,Álvaro Obregón,CDMX,11,0,696.0,1,0,1581.7581046286145
PREDIO LA ANGOSTURA,1780,3137.23,19.32479599,-99.23956402,Álvaro Obregón,CDMX,9,1,949.6666666666666,1,1,2104.303197293843
PRESIDENTES,1290,1545.37,19.37804759,-99.22189457,Álvaro Obregón,CDMX,6,0,2772.6666666666665,1,0,1568.711333119652
PRESIDENTES 1RA (AMPL),1259,1545.37,19.37640986,-99.22484364,Álvaro Obregón,CDMX,6,0,2790.1666666666665,1,0,1568.6529394865588
PRESIDENTES 2DA (AMPL),1160,1545.37,19.37407171,-99.22782018,Álvaro Obregón,CDMX,10,0,3438.1,1,0,1571.3848440967367
